"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PINHD-2X2";"2X02";"JP1";"PIN HEADER";"";
"2";"";"R-EU_R1206";"R1206";"R2, R3";"RESISTOR, European symbol";"";
"2";"";"SMD5";"SMD2,54-5,08";"GND, V+";"SMD PAD";"";
"1";"";"USB-B-S";"USB-B-SMT";"USB";"USB Connectors";"";
"1";"100K";"R-EU_R1206";"R1206";"R1";"RESISTOR, European symbol";"";
"2";"100n";"C-EUC1206";"C1206";"C3, C7";"CAPACITOR, European symbol";"";
"1";"220µ";"CPOL-EUE3.5-8";"E3,5-8";"C6";"POLARIZED CAPACITOR, European symbol";"";
"2";"22p";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";
"1";"7.3728MHz";"CRYTALHC49UP";"HC49UP";"Q2";"CRYSTAL";"";
"1";"FT232RL";"FT232RL";"SSOP28DB";"IC1";"USB UART";"";
"2";"IR-LED";"WIREPADSMD5-2,5";"5-2,5";"LED+, LED-";"Wire PAD connect wire on PCB";"";
"1";"IRLR3915PBF";"IRLR3915PBF";"D-PAK";"U$1";"";"";
"1";"MCP2120";"MCP2120";"SO-14";"IC2";"";"";
"4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";
