"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"8";"";"1,6/0,9";"1,6/0,9";"BAT1+1, BAT1-1, BAT2+1, BAT2-1, MOT1, MOT2, MOT3, MOT4";"THROUGH-HOLE PAD";"";
"2";"0.91R";"R-EU_R0603";"R0603";"R29, R31";"RESISTOR, European symbol";"";
"2";"0R2";"R-EU_R0603";"R0603";"R30, R32";"RESISTOR, European symbol";"";
"12";"100k";"R-EU_R0201";"R0201";"R1, R2, R4, R5, R9, R14, R15, R16, R17, R18, R23, R24";"RESISTOR, European symbol";"";
"2";"100n";"C-EUC0201";"C0201";"C1, C2";"CAPACITOR, European symbol";"";
"1";"10µ";"C-EUC0603K";"C0603K";"C5";"CAPACITOR, European symbol";"";
"4";"130R";"R-EU_R0201";"R0201";"R21, R22, R27, R28";"RESISTOR, European symbol";"";
"1";"14,7456MHZ";"TXC-7B-SERIESSMD";"TXC_7B_SERIES";"Q9";"TXC 7B SERIES";"";
"2";"18p";"C-EUC0201";"C0201";"C3, C4";"CAPACITOR, European symbol";"";
"1";"1k";"R-EU_R0201";"R0201";"R12";"RESISTOR, European symbol";"";
"4";"1k8";"R-EU_R0201";"R0201";"R7, R8, R34, R35";"RESISTOR, European symbol";"";
"1";"200R";"R-EU_R0201";"R0201";"R33";"RESISTOR, European symbol";"";
"1";"27R";"R-EU_R0201";"R0201";"R10";"RESISTOR, European symbol";"";
"2";"2k";"R-EU_R0201";"R0201";"R11, R13";"RESISTOR, European symbol";"";
"4";"560R";"R-EU_R0201";"R0201";"R19, R20, R25, R26";"RESISTOR, European symbol";"";
"1";"87R";"R-EU_R0201";"R0201";"R6";"RESISTOR, European symbol";"";
"4";"ASMT-YTD2-0BB02";"PLCC6K";"PLCC6K";"LED2, LED3, LED4, LED5";"Standart PLCC6 Package RGB LED";"";
"1";"ATMEGA168-20MU";"ATMEGA48/88/168-MU";"MLF32";"IC1";"";"";
"1";"AYZ0202AGRLC";"AYZ0202AGRLC";"AYZ0202AGLRC";"SWITCH_PWR";"AYZ Switch Series";"";
"7";"BC817W";"BC817W";"SOT323-BEC";"Q2, Q3, Q4, Q5, Q6, Q7, Q8";"NPN Transistor";"";
"1";"DF12(5.0)-20DP-0.5V";"DF12-20DP";"DF12-20DP";"CON_PROG";"HRS-Hirose DF12-Series";"";
"2";"DRV8830DRCT";"DRV8830DGQRWSON";"S-PDSO-N10";"IC5, IC7";"LOW-VOLTAGE MOTOR DRIVER WITH SERIAL INTERFACE";"";
"2";"LTC2990IMS#PBF";"LTC2990IMSPBF";"SOP50P490X110-10N";"IC6, IC8";"Quad I2C Voltage, Current and Temperature Monitor";"";
"4";"MOUNT-HOLE1,5";"MOUNT-HOLE1,5";"1,5";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";
"1";"PCA9540BDP";"PCA9540TSSOP8";"TSSOP8";"IC2";"PCA9540";"";
"2";"PMEG2010EA";"PMEG2010EAR";"SOD323-R";"D1, D2";"NXP - Low V F (MEGA) Schottky barrier diode";"";
"1";"TFBS4711TR1";"TFBS4711TR1";"TFBS4711";"IC4";"TRANSCEIVER IRDA";"";
"1";"TIR1000PWR";"TIR1000PWR";"PW_R-PDSO-G08";"IC3";"Texas Instruments TIR1000";"";
"1";"TXC - 7X-1.8432MBB-T - OSC, 1.8432MHZ";"7X-SERIES";"3.2X2.5";"Q1";"TXC 7X SERIES";"";
"1";"green";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";
"1";"red";"LEDCHIPLED_0603";"CHIPLED_0603";"LED6";"LED";"";
