"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PINHD-2X03_2.54-SMD";"2X03SMD";"ISP";"PIN HEADER";"";
"1";"";"USB-MIC-S";"USB-MIC-S";"USB";"USB Connectors";"";
"1";"100k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";
"1";"100n";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";
"4";"130R";"R-EU_R0603";"R0603";"R3, R4, R5, R6";"RESISTOR, European symbol";"";
"1";"165k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";
"1";"DF12-20DS";"DF12-20DS";"DF12-20DS";"CON1";"HRS-Hirose DF12-Series";"";
"1";"FT232RQ";"FT232RQ";"QFN32";"IC4";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";
"1";"LM317MBSTT3";"LM317MBSTT3";"SOT223";"IC1";"500 mA Adjustable Output Positive Voltage Regulator";"";
"2";"MCP73832T-2DCI/OT";"MCP73832T-2DCI/OT";"SOT95P300X145-5N";"IC2, IC3";"IC, BATT CHARGER, Li-Ion Li-Polymer, 500 mA";"";
"2";"PMEG2010EA";"PMEG2010EAR";"SOD323-R";"D1, D2";"NXP - Low V F (MEGA) Schottky barrier diode";"";
"5";"TPTP06SQ";"TPTP06SQ";"TP06SQ";"TP1, TP2, TP3, TP4, TP5";"Test pad";"";
"2";"red";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2";"LED";"";
